news_id,date,source,title,content,gold_event_type,gold_uncertainty_score,gold_impact_direction
744,2025-09-19,yerel,"Cari açık verileri beklentinin üzerinde geldi, TL üzerinde b...","Cari açık verileri beklentinin üzerinde geldi, TL üzerinde baskı artıyor.",,,
579,2025-05-19,yerel,"Sanayi üretimi yükseldi, büyüme rakamları olumlu, ekonomi yo...","Sanayi üretimi yükseldi, büyüme rakamları olumlu, ekonomi yolunda.",,,
1402,2025-12-19,yerel,"İhracat rekor kırdı, dış ticaret dengesi iyileşiyor....","İhracat rekor kırdı, dış ticaret dengesi iyileşiyor.",,,
925,2026-01-22,yerel,"Cari açık verileri beklentinin üzerinde geldi, TL üzerinde b...","Cari açık verileri beklentinin üzerinde geldi, TL üzerinde baskı artıyor.",,,
1391,2025-12-12,yerel,"Seçim belirsizliği piyasaları olumsuz etkiliyor, yatırımcı t...","Seçim belirsizliği piyasaları olumsuz etkiliyor, yatırımcı temkinli.",,,
379,2026-01-06,yerel,"İhracat rekor kırdı, dış ticaret dengesi iyileşiyor....","İhracat rekor kırdı, dış ticaret dengesi iyileşiyor.",,,
808,2025-11-06,yerel,"Seçim belirsizliği piyasaları olumsuz etkiliyor, yatırımcı t...","Seçim belirsizliği piyasaları olumsuz etkiliyor, yatırımcı temkinli.",,,
941,2026-02-02,yerel,"İhracat rekor kırdı, dış ticaret dengesi iyileşiyor....","İhracat rekor kırdı, dış ticaret dengesi iyileşiyor.",,,
958,2026-02-11,fed,"FOMC tutanakları şahin ton içeriyordu, küresel gerilim arttı...","FOMC tutanakları şahin ton içeriyordu, küresel gerilim arttı.",,,
714,2025-08-26,fed,"Fed faiz oranlarını 25 baz puan artırdı, küresel piyasalarda...","Fed faiz oranlarını 25 baz puan artırdı, küresel piyasalarda tedirginlik.",,,
1229,2025-08-19,fed,"Dolar endeksi güçleniyor, gelişen piyasa paraları baskı altı...","Dolar endeksi güçleniyor, gelişen piyasa paraları baskı altında.",,,
967,2026-02-16,fed,"ABD istihdam verileri güçlü geldi, faiz indirimi beklentisi ...","ABD istihdam verileri güçlü geldi, faiz indirimi beklentisi zayıfladı.",,,
851,2025-12-04,fed,Fed yetkilileri enflasyonun kontrol altına alındığını belirt...,"Fed yetkilileri enflasyonun kontrol altına alındığını belirtti, rahatlatıcı mesaj.",,,
1285,2025-10-02,fed,"Fed bilanço küçültmeye devam, gelişen piyasalarda sermaye çı...","Fed bilanço küçültmeye devam, gelişen piyasalarda sermaye çıkışı riski.",,,
1276,2025-09-24,fed,"FOMC tutanakları şahin ton içeriyordu, küresel gerilim arttı...","FOMC tutanakları şahin ton içeriyordu, küresel gerilim arttı.",,,
120,2025-07-08,fed,"Fed faiz oranlarını 25 baz puan artırdı, küresel piyasalarda...","Fed faiz oranlarını 25 baz puan artırdı, küresel piyasalarda tedirginlik.",,,
169,2025-08-11,fed,"Dolar endeksi güçleniyor, gelişen piyasa paraları baskı altı...","Dolar endeksi güçleniyor, gelişen piyasa paraları baskı altında.",,,
98,2025-06-18,fed,"Powell: Ekonomi güçlü, yumuşak iniş mümkün. Piyasalar stabil...","Powell: Ekonomi güçlü, yumuşak iniş mümkün. Piyasalar stabil seyrediyor.",,,
655,2025-07-17,fed,"Dolar endeksi güçleniyor, gelişen piyasa paraları baskı altı...","Dolar endeksi güçleniyor, gelişen piyasa paraları baskı altında.",,,
283,2025-11-05,fed,Fed yetkilileri enflasyonun kontrol altına alındığını belirt...,"Fed yetkilileri enflasyonun kontrol altına alındığını belirtti, rahatlatıcı mesaj.",,,
52,2025-05-15,fed,"ABD istihdam verileri güçlü geldi, faiz indirimi beklentisi ...","ABD istihdam verileri güçlü geldi, faiz indirimi beklentisi zayıfladı.",,,
1506,2026-02-26,fed,"ABD istihdam verileri güçlü geldi, faiz indirimi beklentisi ...","ABD istihdam verileri güçlü geldi, faiz indirimi beklentisi zayıfladı.",,,
455,2026-02-24,fed,"Powell: Ekonomi güçlü, yumuşak iniş mümkün. Piyasalar stabil...","Powell: Ekonomi güçlü, yumuşak iniş mümkün. Piyasalar stabil seyrediyor.",,,
1378,2025-12-05,fed,"Powell: Ekonomi güçlü, yumuşak iniş mümkün. Piyasalar stabil...","Powell: Ekonomi güçlü, yumuşak iniş mümkün. Piyasalar stabil seyrediyor.",,,
609,2025-06-10,fed,Fed yetkilileri enflasyonun kontrol altına alındığını belirt...,"Fed yetkilileri enflasyonun kontrol altına alındığını belirtti, rahatlatıcı mesaj.",,,
75,2025-05-30,fed,"ABD istihdam verileri güçlü geldi, faiz indirimi beklentisi ...","ABD istihdam verileri güçlü geldi, faiz indirimi beklentisi zayıfladı.",,,
179,2025-08-15,fed,"FOMC tutanakları şahin ton içeriyordu, küresel gerilim arttı...","FOMC tutanakları şahin ton içeriyordu, küresel gerilim arttı.",,,
946,2026-02-03,fed,"Dolar endeksi güçleniyor, gelişen piyasa paraları baskı altı...","Dolar endeksi güçleniyor, gelişen piyasa paraları baskı altında.",,,
481,2026-03-10,fed,"ABD istihdam verileri güçlü geldi, faiz indirimi beklentisi ...","ABD istihdam verileri güçlü geldi, faiz indirimi beklentisi zayıfladı.",,,
733,2025-09-09,fed,"Dolar endeksi güçleniyor, gelişen piyasa paraları baskı altı...","Dolar endeksi güçleniyor, gelişen piyasa paraları baskı altında.",,,
242,2025-10-06,fed,"Powell: Ekonomi güçlü, yumuşak iniş mümkün. Piyasalar stabil...","Powell: Ekonomi güçlü, yumuşak iniş mümkün. Piyasalar stabil seyrediyor.",,,
1532,2026-03-12,fed,"Fed bilanço küçültmeye devam, gelişen piyasalarda sermaye çı...","Fed bilanço küçültmeye devam, gelişen piyasalarda sermaye çıkışı riski.",,,
836,2025-11-26,fed,"Powell: Ekonomi güçlü, yumuşak iniş mümkün. Piyasalar stabil...","Powell: Ekonomi güçlü, yumuşak iniş mümkün. Piyasalar stabil seyrediyor.",,,
1395,2025-12-15,fed,"Powell: Ekonomi güçlü, yumuşak iniş mümkün. Piyasalar stabil...","Powell: Ekonomi güçlü, yumuşak iniş mümkün. Piyasalar stabil seyrediyor.",,,
1577,2026-04-14,fed,"ABD istihdam verileri güçlü geldi, faiz indirimi beklentisi ...","ABD istihdam verileri güçlü geldi, faiz indirimi beklentisi zayıfladı.",,,
178,2025-08-15,fed,"Powell: Ekonomi güçlü, yumuşak iniş mümkün. Piyasalar stabil...","Powell: Ekonomi güçlü, yumuşak iniş mümkün. Piyasalar stabil seyrediyor.",,,
1451,2026-01-22,fed,"Dolar endeksi güçleniyor, gelişen piyasa paraları baskı altı...","Dolar endeksi güçleniyor, gelişen piyasa paraları baskı altında.",,,
926,2026-01-22,fed,"Dolar endeksi güçleniyor, gelişen piyasa paraları baskı altı...","Dolar endeksi güçleniyor, gelişen piyasa paraları baskı altında.",,,
235,2025-09-30,fed,"FOMC tutanakları şahin ton içeriyordu, küresel gerilim arttı...","FOMC tutanakları şahin ton içeriyordu, küresel gerilim arttı.",,,
1286,2025-10-02,fed,"ABD istihdam verileri güçlü geldi, faiz indirimi beklentisi ...","ABD istihdam verileri güçlü geldi, faiz indirimi beklentisi zayıfladı.",,,
61,2025-05-22,fed,"Fed bilanço küçültmeye devam, gelişen piyasalarda sermaye çı...","Fed bilanço küçültmeye devam, gelişen piyasalarda sermaye çıkışı riski.",,,
72,2025-05-29,tcmb,"TCMB politika faizini 500 baz puan artırdı, piyasalarda tedi...","TCMB politika faizini 500 baz puan artırdı, piyasalarda tedirginlik hakim.",,,
636,2025-07-02,tcmb,"Enflasyon raporu beklentilerin altında geldi, piyasalar olum...","Enflasyon raporu beklentilerin altında geldi, piyasalar olumlu karşıladı.",,,
1064,2025-04-22,tcmb,"TCMB döviz rezervleri eridi, kur baskısı artıyor, gerilim tı...","TCMB döviz rezervleri eridi, kur baskısı artıyor, gerilim tırmanıyor.",,,
1410,2025-12-24,tcmb,"TCMB döviz rezervleri eridi, kur baskısı artıyor, gerilim tı...","TCMB döviz rezervleri eridi, kur baskısı artıyor, gerilim tırmanıyor.",,,
125,2025-07-11,tcmb,"TCMB politika faizini 500 baz puan artırdı, piyasalarda tedi...","TCMB politika faizini 500 baz puan artırdı, piyasalarda tedirginlik hakim.",,,
503,2026-03-24,tcmb,"TCMB döviz rezervleri eridi, kur baskısı artıyor, gerilim tı...","TCMB döviz rezervleri eridi, kur baskısı artıyor, gerilim tırmanıyor.",,,
557,2025-05-02,tcmb,"Para politikası kurulu toplantısında sürpriz olmadı, beklent...","Para politikası kurulu toplantısında sürpriz olmadı, beklentiler yolunda.",,,
1189,2025-07-23,tcmb,"Merkez Bankası enflasyon hedefini korudu, faiz sabit bırakıl...","Merkez Bankası enflasyon hedefini korudu, faiz sabit bırakıldı, piyasa stabil.",,,
676,2025-07-30,tcmb,"Enflasyon raporu beklentilerin altında geldi, piyasalar olum...","Enflasyon raporu beklentilerin altında geldi, piyasalar olumlu karşıladı.",,,
1335,2025-11-07,tcmb,"Merkez Bankası swap ihalesi düzenledi, likidite yönetimi dev...","Merkez Bankası swap ihalesi düzenledi, likidite yönetimi devam ediyor.",,,
796,2025-10-29,tcmb,"TCMB başkanı sıkılaştırma mesajı verdi, belirsizlik devam ed...","TCMB başkanı sıkılaştırma mesajı verdi, belirsizlik devam ediyor.",,,
155,2025-07-31,tcmb,"TCMB başkanı sıkılaştırma mesajı verdi, belirsizlik devam ed...","TCMB başkanı sıkılaştırma mesajı verdi, belirsizlik devam ediyor.",,,
449,2026-02-19,tcmb,"Enflasyon raporu beklentilerin altında geldi, piyasalar olum...","Enflasyon raporu beklentilerin altında geldi, piyasalar olumlu karşıladı.",,,
322,2025-12-01,tcmb,"Merkez Bankası swap ihalesi düzenledi, likidite yönetimi dev...","Merkez Bankası swap ihalesi düzenledi, likidite yönetimi devam ediyor.",,,
1275,2025-09-23,tcmb,"Merkez Bankası enflasyon hedefini korudu, faiz sabit bırakıl...","Merkez Bankası enflasyon hedefini korudu, faiz sabit bırakıldı, piyasa stabil.",,,
148,2025-07-25,tcmb,"Enflasyon raporu beklentilerin altında geldi, piyasalar olum...","Enflasyon raporu beklentilerin altında geldi, piyasalar olumlu karşıladı.",,,
1220,2025-08-13,tcmb,"TCMB başkanı sıkılaştırma mesajı verdi, belirsizlik devam ed...","TCMB başkanı sıkılaştırma mesajı verdi, belirsizlik devam ediyor.",,,
476,2026-03-06,tcmb,"Merkez Bankası swap ihalesi düzenledi, likidite yönetimi dev...","Merkez Bankası swap ihalesi düzenledi, likidite yönetimi devam ediyor.",,,
816,2025-11-12,tcmb,"Merkez Bankası swap ihalesi düzenledi, likidite yönetimi dev...","Merkez Bankası swap ihalesi düzenledi, likidite yönetimi devam ediyor.",,,
509,2026-03-30,tcmb,"Para politikası kurulu toplantısında sürpriz olmadı, beklent...","Para politikası kurulu toplantısında sürpriz olmadı, beklentiler yolunda.",,,
310,2025-11-21,tcmb,"TCMB başkanı sıkılaştırma mesajı verdi, belirsizlik devam ed...","TCMB başkanı sıkılaştırma mesajı verdi, belirsizlik devam ediyor.",,,
1493,2026-02-17,tcmb,"Merkez Bankası swap ihalesi düzenledi, likidite yönetimi dev...","Merkez Bankası swap ihalesi düzenledi, likidite yönetimi devam ediyor.",,,
1065,2025-04-23,tcmb,"Para politikası kurulu toplantısında sürpriz olmadı, beklent...","Para politikası kurulu toplantısında sürpriz olmadı, beklentiler yolunda.",,,
960,2026-02-11,tcmb,"Para politikası kurulu toplantısında sürpriz olmadı, beklent...","Para politikası kurulu toplantısında sürpriz olmadı, beklentiler yolunda.",,,
526,2026-04-10,tcmb,"Merkez Bankası enflasyon hedefini korudu, faiz sabit bırakıl...","Merkez Bankası enflasyon hedefini korudu, faiz sabit bırakıldı, piyasa stabil.",,,
54,2025-05-16,tcmb,"Para politikası kurulu toplantısında sürpriz olmadı, beklent...","Para politikası kurulu toplantısında sürpriz olmadı, beklentiler yolunda.",,,
819,2025-11-13,tcmb,"Enflasyon raporu beklentilerin altında geldi, piyasalar olum...","Enflasyon raporu beklentilerin altında geldi, piyasalar olumlu karşıladı.",,,
944,2026-02-03,tcmb,"TCMB başkanı sıkılaştırma mesajı verdi, belirsizlik devam ed...","TCMB başkanı sıkılaştırma mesajı verdi, belirsizlik devam ediyor.",,,
929,2026-01-23,tcmb,"Merkez Bankası swap ihalesi düzenledi, likidite yönetimi dev...","Merkez Bankası swap ihalesi düzenledi, likidite yönetimi devam ediyor.",,,
225,2025-09-22,tcmb,"TCMB politika faizini 500 baz puan artırdı, piyasalarda tedi...","TCMB politika faizini 500 baz puan artırdı, piyasalarda tedirginlik hakim.",,,
1401,2025-12-19,tcmb,"Para politikası kurulu toplantısında sürpriz olmadı, beklent...","Para politikası kurulu toplantısında sürpriz olmadı, beklentiler yolunda.",,,
737,2025-09-15,tcmb,"Para politikası kurulu toplantısında sürpriz olmadı, beklent...","Para politikası kurulu toplantısında sürpriz olmadı, beklentiler yolunda.",,,
208,2025-09-09,tcmb,"TCMB döviz rezervleri eridi, kur baskısı artıyor, gerilim tı...","TCMB döviz rezervleri eridi, kur baskısı artıyor, gerilim tırmanıyor.",,,
572,2025-05-14,tcmb,"TCMB başkanı sıkılaştırma mesajı verdi, belirsizlik devam ed...","TCMB başkanı sıkılaştırma mesajı verdi, belirsizlik devam ediyor.",,,
